com.samsung.shealth.tracker.pedometer_step_count,6272009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
18432,4,0,31,2024-08-04 19:11:00.000,,,2024-08-04 19:15:00.668,2024-08-04 19:15:00.668,31,1.25,23.04,1.47,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:12:00.000,3b58f3f0-a7e2-4150-8d8a-73481c5a87ef,
23489,4,0,41,2024-08-04 19:12:00.000,,,2024-08-04 19:15:00.703,2024-08-04 19:15:00.703,41,1.3333334,31.32,1.89,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:13:00.000,febab682-c484-493c-98d0-c07d2c80c139,
20974,4,0,33,2024-08-04 19:14:00.000,,,2024-08-04 19:15:00.737,2024-08-04 19:15:00.737,33,1.1666666,24.47,1.6,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:15:00.000,6491561a-bdd7-4339-b8c1-1fc663d269c7,
34821,4,0,53,2024-08-04 19:15:00.000,,,2024-08-04 19:22:33.746,2024-08-04 19:22:33.746,53,1.111111,38.69,2.55,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:16:00.000,8c16731c-949c-466c-8f9b-c8f9654a0be4,
50466,4,0,80,2024-08-04 19:16:00.000,,,2024-08-04 19:22:33.770,2024-08-04 19:22:33.770,80,1.1944444,60.28,3.9,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:17:00.000,994f25df-2c51-4439-89af-05fba51a16c6,
7705,4,0,12,2024-08-04 19:17:00.000,,,2024-08-04 19:22:33.801,2024-08-04 19:22:33.801,12,1.1666666,8.99,0.57,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:18:00.000,4a4df6aa-f7ef-4015-bad3-ac1120e560cd,
31864,4,0,51,2024-08-04 19:18:00.000,,,2024-08-04 19:22:33.822,2024-08-04 19:22:33.822,51,1.1944444,38.06,2.43,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:19:00.000,8d680511-e99c-4fd1-ae2e-1ebe16a8a5cf,
35026,4,0,57,2024-08-04 19:19:00.000,,,2024-08-04 19:22:33.887,2024-08-04 19:22:33.887,57,1.2222222,42.81,2.75,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:20:00.000,b6965645-c981-4138-b29b-134a508dec51,
9597,4,0,15,2024-08-04 19:20:00.000,,,2024-08-04 19:22:33.930,2024-08-04 19:22:33.930,15,1.1388888,10.93,0.7,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:21:00.000,dcec17a0-8e98-4a8e-a945-62a20cf1accf,
16363,4,0,24,2024-08-04 19:22:00.000,,,2024-08-04 19:23:42.285,2024-08-04 19:22:34.023,24,1.0761627,17.61,1.1600001,UTC-0400,5vLahzXBCy,com.sec.android.app.shealth,2024-08-04 19:23:00.000,3bc3ea74-b22e-453d-8b7c-ab2ba678667e,
