com.samsung.shealth.stress,6272009,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62610110,2024-02-04 00:00:00.000,,19b78335-de39-4efa-bbd1-0e7181fee868.binning_data.json,10011,62610110,2024-02-04 01:14:16.709,2024-02-04 01:14:16.709,75.0,0.0,14.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 00:59:59.999,19b78335-de39-4efa-bbd1-0e7181fee868,
62610110,2024-02-04 01:00:00.000,,0dd7335f-5a92-4d1e-91f9-57381fe6cb9c.binning_data.json,10011,62610110,2024-02-04 02:10:33.654,2024-02-04 02:10:33.654,98.0,0.0,54.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 01:59:59.999,0dd7335f-5a92-4d1e-91f9-57381fe6cb9c,
62610110,2024-02-04 02:00:00.000,,be503457-63b0-447e-ae65-47741c3a24cb.binning_data.json,10011,62610110,2024-02-04 06:31:00.823,2024-02-04 02:54:20.649,100.0,0.0,11.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 02:59:59.999,be503457-63b0-447e-ae65-47741c3a24cb,
62610110,2024-02-04 06:00:00.000,,4f10697d-4f3a-47e9-9a7a-10a38ac4b878.binning_data.json,10011,62610110,2024-02-04 07:08:27.670,2024-02-04 07:08:27.670,96.0,0.0,59.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 06:59:59.999,4f10697d-4f3a-47e9-9a7a-10a38ac4b878,
62610110,2024-02-04 07:00:00.000,,3569262d-dc3e-4ba0-b823-f55ca4f83203.binning_data.json,10011,62610110,2024-02-04 08:02:13.734,2024-02-04 08:02:13.734,96.0,1.0,46.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 07:59:59.999,3569262d-dc3e-4ba0-b823-f55ca4f83203,
62610110,2024-02-04 08:00:00.000,,487f909c-8b8e-44ad-a4f2-a28579fe63f5.binning_data.json,10011,62620030,2024-02-04 11:24:37.412,2024-02-04 08:02:15.182,99.0,17.0,78.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 08:59:59.999,487f909c-8b8e-44ad-a4f2-a28579fe63f5,
62620030,2024-02-04 10:00:00.000,,2838bf66-32d2-40a7-9bce-570f7eeecb80.binning_data.json,10011,62620030,2024-02-05 05:17:04.460,2024-02-04 11:24:37.511,20.0,20.0,20.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-04 10:59:59.999,2838bf66-32d2-40a7-9bce-570f7eeecb80,
62620030,2024-02-05 01:00:00.000,,498f7be6-da0c-4459-a648-70e8ad1b3031.binning_data.json,10011,62620030,2024-02-05 05:17:04.690,2024-02-05 05:17:04.690,98.0,98.0,98.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 01:59:59.999,498f7be6-da0c-4459-a648-70e8ad1b3031,
62620030,2024-02-05 05:00:00.000,,03b9ce4e-ff33-4840-8655-def4c0ed009d.binning_data.json,10011,62620030,2024-02-05 12:16:07.774,2024-02-05 12:16:07.774,98.0,0.0,71.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 05:59:59.999,03b9ce4e-ff33-4840-8655-def4c0ed009d,
62620030,2024-02-05 12:00:00.000,,ce5e6ac6-2f3c-447c-87e5-0f8655abcc44.binning_data.json,10011,62620030,2024-02-05 13:30:46.264,2024-02-05 13:30:46.264,86.0,0.0,42.0,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2024-02-05 12:59:59.999,ce5e6ac6-2f3c-447c-87e5-0f8655abcc44,
