com.samsung.shealth.tracker.heart_rate,6272009,3
source,tag_id,com.samsung.health.heart_rate.create_sh_ver,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.modify_sh_ver,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.comment,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.heart_rate
,21312,62600630,1,2023-12-30 03:40:29.274,,,62600630,2023-12-30 03:40:30.202,2023-12-30 03:40:30.202,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:40:29.274,e7754607-ad67-412e-baad-156c8fe3b921,105.0,
,21312,62600630,1,2023-12-30 03:50:47.930,,,62600630,2023-12-30 03:51:27.324,2023-12-30 03:51:27.324,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 03:50:47.930,5fab93ac-2b33-4669-8e76-73bead2a5ffc,100.0,
,21313,62600630,1,2023-12-30 04:00:00.000,,cf936b30-16d7-4ad3-998f-063adbb79c38.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 04:31:41.069,2023-12-30 04:01:14.886,104.0,78.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 04:31:40.592,cf936b30-16d7-4ad3-998f-063adbb79c38,92.0,
,21313,62600630,1,2023-12-30 05:00:00.000,,60cc3e7b-f2e8-41ca-b717-19c0e54bee97.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 05:15:39.542,2023-12-30 05:11:36.481,106.0,86.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 05:15:39.484,60cc3e7b-f2e8-41ca-b717-19c0e54bee97,94.0,
,21313,62600630,1,2023-12-30 15:00:00.000,,c27263dd-8d16-4dc4-a250-ac330958ac1c.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 16:02:10.251,2023-12-30 15:45:02.360,92.0,69.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 15:59:59.999,c27263dd-8d16-4dc4-a250-ac330958ac1c,80.0,
,21316,62600630,1,2023-12-30 16:10:29.857,,,62600630,2023-12-31 03:15:17.688,2023-12-30 16:34:56.888,,,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 16:10:29.857,0776867f-1b3a-402a-a948-920fc7e7d694,71.0,
,21313,62600630,1,2023-12-30 16:00:00.000,,b3d34122-a140-4da4-84f2-71369ad7738d.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 17:10:42.737,2023-12-30 16:02:10.485,91.0,60.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 16:59:59.999,b3d34122-a140-4da4-84f2-71369ad7738d,75.0,
,21313,62600630,1,2023-12-30 17:00:00.000,,4f5422e3-cf41-414e-aa00-55e706322db3.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 18:09:40.686,2023-12-30 17:10:43.041,95.0,58.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 17:59:59.999,4f5422e3-cf41-414e-aa00-55e706322db3,75.0,
,21313,62600630,1,2023-12-30 18:00:00.000,,e38756fe-2b05-4ba4-9897-0dc6647b046a.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 19:11:35.554,2023-12-30 18:09:40.893,97.0,62.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 18:59:59.999,e38756fe-2b05-4ba4-9897-0dc6647b046a,78.0,
,21313,62600630,1,2023-12-30 19:00:00.000,,84ef3478-50be-4f0c-a302-0714426acfe8.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 20:14:36.750,2023-12-30 19:11:35.861,114.0,68.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 19:59:59.999,84ef3478-50be-4f0c-a302-0714426acfe8,89.0,
,21313,62600630,1,2023-12-30 20:00:00.000,,73379cc1-ab6e-4d90-b197-3c83eab1f278.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 21:02:13.289,2023-12-30 20:14:37.164,135.0,62.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 20:59:59.999,73379cc1-ab6e-4d90-b197-3c83eab1f278,103.0,
,21313,62600630,1,2023-12-30 21:00:00.000,,ed3e75df-55cd-49db-847f-a26680e69666.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 22:13:33.688,2023-12-30 21:02:13.628,149.0,85.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 21:59:59.999,ed3e75df-55cd-49db-847f-a26680e69666,119.0,
,21313,62600630,1,2023-12-30 22:00:00.000,,59da2a18-3bce-4638-a0f2-feec42cce535.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-30 23:10:30.841,2023-12-30 22:13:36.408,148.0,76.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 22:59:59.999,59da2a18-3bce-4638-a0f2-feec42cce535,115.0,
,21313,62600630,1,2023-12-30 23:00:00.000,,98aba823-aa59-4e60-84f8-af7428b427ec.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 00:05:21.604,2023-12-30 23:11:57.859,147.0,60.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-30 23:59:59.999,98aba823-aa59-4e60-84f8-af7428b427ec,118.0,
,21313,62600630,1,2023-12-31 00:00:00.000,,7f824e30-81a4-4373-85b0-b737b403a064.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 01:04:41.342,2023-12-31 00:05:21.776,127.0,62.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 00:59:59.999,7f824e30-81a4-4373-85b0-b737b403a064,101.0,
,21313,62600630,1,2023-12-31 01:00:00.000,,4f54bfcc-bc2f-4884-9373-81cba6e152fb.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 02:15:00.938,2023-12-31 01:04:41.490,122.0,75.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 01:59:59.999,4f54bfcc-bc2f-4884-9373-81cba6e152fb,94.0,
,21313,62600630,1,2023-12-31 02:00:00.000,,9dbda1aa-4048-4a35-9b57-58b9add2f5c9.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 03:04:47.322,2023-12-31 02:15:01.041,116.0,75.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 02:59:59.999,9dbda1aa-4048-4a35-9b57-58b9add2f5c9,96.0,
,21313,62600630,1,2023-12-31 03:00:00.000,,dc17c71d-0d87-41c5-ba1a-15011364c470.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 04:06:25.120,2023-12-31 03:04:47.660,117.0,79.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 03:59:59.999,dc17c71d-0d87-41c5-ba1a-15011364c470,99.0,
,21313,62600630,1,2023-12-31 04:00:00.000,,9eb0df57-afcc-4217-959d-da65fdc46a98.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 05:00:04.010,2023-12-31 04:06:25.307,112.0,70.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 04:59:59.999,9eb0df57-afcc-4217-959d-da65fdc46a98,96.0,
,21313,62600630,1,2023-12-31 05:00:00.000,,7b9fc21c-1008-4057-bef7-69bab208490c.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 06:01:00.355,2023-12-31 05:32:14.244,136.0,69.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 05:59:59.999,7b9fc21c-1008-4057-bef7-69bab208490c,112.0,
,21313,62600630,1,2023-12-31 06:00:00.000,,965001cb-d5e1-47a4-ab59-9bc6f177185d.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 07:10:02.346,2023-12-31 06:02:41.324,124.0,67.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 06:59:59.999,965001cb-d5e1-47a4-ab59-9bc6f177185d,91.0,
,21313,62600630,1,2023-12-31 07:00:00.000,,a230a411-9c49-4f7e-b241-646151d27632.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 08:05:43.098,2023-12-31 07:10:02.818,116.0,60.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 07:59:59.999,a230a411-9c49-4f7e-b241-646151d27632,91.0,
,21313,62600630,1,2023-12-31 08:00:00.000,,446ff061-265e-4279-bc21-4e7d54803daa.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 09:08:25.346,2023-12-31 08:05:43.653,107.0,65.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 08:59:59.999,446ff061-265e-4279-bc21-4e7d54803daa,89.0,
,21313,62600630,1,2023-12-31 09:00:00.000,,a12d8794-b836-4f08-a969-f56bc40659d5.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 18:56:12.246,2023-12-31 09:08:25.532,96.0,57.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 09:59:59.999,a12d8794-b836-4f08-a969-f56bc40659d5,79.0,
,21313,62600630,1,2023-12-31 18:00:00.000,,a6944063-8d0d-4200-922e-21f1922fa1c8.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 19:26:17.706,2023-12-31 18:56:12.589,110.0,59.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 18:59:59.999,a6944063-8d0d-4200-922e-21f1922fa1c8,89.0,
,21313,62600630,1,2023-12-31 19:00:00.000,,43e663bb-707c-446b-a37f-7c34cea12520.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 20:18:43.259,2023-12-31 19:26:17.955,129.0,95.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 19:59:59.999,43e663bb-707c-446b-a37f-7c34cea12520,119.0,
,21313,62600630,1,2023-12-31 20:00:00.000,,78afba8a-2c87-4b45-ad74-d23e191831cb.com.samsung.health.heart_rate.binning_data.json,62600630,2023-12-31 21:09:00.445,2023-12-31 20:18:43.564,129.0,82.0,UTC-0500,PZSgGx/3oA,,com.sec.android.app.shealth,2023-12-31 20:59:59.999,78afba8a-2c87-4b45-ad74-d23e191831cb,99.0,
