com.samsung.shealth.rewards,6272009,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-10-27 04:00:00.000,,10009,,2021-11-02 04:00:03.200,2021-10-27 18:33:14.863,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":9060}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-27 04:00:00.000,89b9db78-1c77-49e7-a4df-2941fd00cad6,1,
,2021-10-28 04:00:00.000,,10009,,2021-11-03 04:50:06.348,2021-10-28 15:27:20.015,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7310}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-10-28 04:00:00.000,0a280223-0342-49b5-8331-b072ca8ba8d7,1,
,2021-11-02 04:00:00.000,,10009,,2021-11-07 04:00:03.084,2021-11-02 19:03:59.960,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7740}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-02 04:00:00.000,b2b1901c-2e2b-4792-b31e-36e8425b6e33,1,
,2021-11-03 04:00:00.000,,10009,,2021-11-08 05:00:02.724,2021-11-03 18:10:36.825,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8536}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-03 04:00:00.000,aa3fa2aa-22a2-4b46-b31a-537fc3577a25,1,
,2021-11-04 04:00:00.000,,10009,,2021-11-09 05:00:03.384,2021-11-04 18:50:42.052,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":8905}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-04 04:00:00.000,d3e11013-8229-48a6-90fb-55e71eed4568,1,
,2021-11-05 04:00:00.000,,10009,,2021-11-10 05:28:39.202,2021-11-05 18:13:53.689,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7550}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-05 04:00:00.000,9b36d3a4-b554-4fe7-aee2-21caaaeba883,1,
,2021-11-08 05:00:00.000,,10009,,2021-11-14 05:08:42.014,2021-11-08 19:12:53.902,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":11280}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-08 05:00:00.000,4c2a329d-1454-4bda-8998-110596c8fe14,1,
,2021-11-08 05:00:00.000,,10009,,2021-11-09 05:00:01.490,2021-11-09 01:40:57.412,,,tracker_pedometer_reward_most_walking_day,UTC-0500,"{""mTarget"":-1,""mValue"":11280}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-08 05:00:00.000,39727ad6-e0bd-4065-b8f2-1c7c36335b03,1,
,2021-11-09 05:00:00.000,,10009,,2021-11-15 05:00:02.983,2021-11-09 20:12:15.791,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7693}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-09 05:00:00.000,f3cf06b6-7f8d-4654-8d1e-c3dd18a18c2d,1,
,2021-11-10 05:00:00.000,,10009,,2021-11-16 05:00:18.528,2021-11-10 19:58:15.327,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":9194}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-10 05:00:00.000,66a11e2f-6fc9-426d-8dac-0e73ec7bc2c9,1,
,2021-11-11 05:00:00.000,,10009,,2021-11-17 05:00:03.883,2021-11-11 19:10:16.198,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8663}",5vLahzXBCy,com.sec.android.app.shealth,tracker.pedometer,2021-11-11 05:00:00.000,f029299b-a018-4e82-9c1d-76d6530ac52e,1,
