com.samsung.shealth.report,6272009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1633233600000,2021-10-11 17:45:47.494,2021-10-11 17:45:45.959,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,f793c3a1-286d-48f6-b325-8cc71ad79cdf,f793c3a1-286d-48f6-b325-8cc71ad79cdf.compressed_content.json,
America/Toronto,1633838400000,2021-10-18 17:54:01.821,2021-10-18 17:54:00.401,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,11b9325e-3c8b-4a0e-a6ef-04623ec5bdc8,11b9325e-3c8b-4a0e-a6ef-04623ec5bdc8.compressed_content.json,
America/Toronto,1634443200000,2021-10-25 18:41:29.944,2021-10-25 18:41:28.690,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,51673c43-dec6-4f21-b76e-88addba0e07f,51673c43-dec6-4f21-b76e-88addba0e07f.compressed_content.json,
America/Toronto,1635048000000,2021-11-01 17:56:43.339,2021-11-01 17:56:41.919,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,333b48db-8201-466a-8544-8e633daa903c,333b48db-8201-466a-8544-8e633daa903c.compressed_content.json,
America/Toronto,1635652800000,2021-11-08 18:46:20.358,2021-11-08 18:46:19.120,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,650cf3eb-9514-4ee9-807c-d0b0bfaa5333,650cf3eb-9514-4ee9-807c-d0b0bfaa5333.compressed_content.json,
America/Toronto,1636257600000,2021-11-15 18:46:50.875,2021-11-15 18:46:49.617,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,c44abc35-0a5f-4d7b-8612-72d4957597df,c44abc35-0a5f-4d7b-8612-72d4957597df.compressed_content.json,
America/Toronto,1636866000000,2021-11-21 19:14:20.052,2021-11-21 19:14:18.768,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,63808332-37c5-4340-97e7-bd19b4c4ccfe,63808332-37c5-4340-97e7-bd19b4c4ccfe.compressed_content.json,
America/Toronto,1637470800000,2021-11-28 20:16:15.029,2021-11-28 20:16:13.618,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,a62f5285-8396-4df1-83df-30969c021fd5,a62f5285-8396-4df1-83df-30969c021fd5.compressed_content.json,
America/Toronto,1638075600000,2021-12-05 18:55:58.169,2021-12-05 18:55:56.193,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,e707d3c4-eada-4a0f-9e5e-75263a2e25cd,e707d3c4-eada-4a0f-9e5e-75263a2e25cd.compressed_content.json,
America/Toronto,1638680400000,2021-12-12 18:51:09.305,2021-12-12 18:51:07.961,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,19cf9fff-595a-4667-9304-0e051f769ab7,19cf9fff-595a-4667-9304-0e051f769ab7.compressed_content.json,
America/Toronto,1639890000000,2021-12-27 20:24:08.686,2021-12-27 20:24:07.435,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,6843a669-d9ae-437c-8606-21e6b3a2edef,6843a669-d9ae-437c-8606-21e6b3a2edef.compressed_content.json,
America/Toronto,1641099600000,2022-01-10 18:47:02.486,2022-01-10 18:47:01.183,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,6db40a1e-ce59-4507-82e4-95e22cf855e0,6db40a1e-ce59-4507-82e4-95e22cf855e0.compressed_content.json,
America/Toronto,1641704400000,2022-01-17 19:16:38.078,2022-01-17 19:16:34.494,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,119eebfa-9e50-49a0-b449-5e3f1976d688,119eebfa-9e50-49a0-b449-5e3f1976d688.compressed_content.json,
America/Toronto,1642309200000,2022-01-23 19:07:39.762,2022-01-23 19:07:38.459,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,689ba8fe-ffc2-4b6f-a0ce-a6ec02176d92,689ba8fe-ffc2-4b6f-a0ce-a6ec02176d92.compressed_content.json,
America/Toronto,1642914000000,2022-02-01 19:01:32.440,2022-02-01 19:01:28.997,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,04531eaa-0442-432a-8324-435a56cd139c,04531eaa-0442-432a-8324-435a56cd139c.compressed_content.json,
America/Toronto,1643518800000,2022-02-09 18:46:34.387,2022-02-09 18:46:33.153,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3ff797c7-77b2-4378-afc8-5edd361fb5a4,3ff797c7-77b2-4378-afc8-5edd361fb5a4.compressed_content.json,
America/Toronto,1644123600000,2022-02-13 18:52:19.874,2022-02-13 18:52:03.300,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1f072f6b-9eb7-4fe7-b5de-3673102aa3b9,1f072f6b-9eb7-4fe7-b5de-3673102aa3b9.compressed_content.json,
America/Toronto,1645938000000,2022-03-07 18:46:33.240,2022-03-07 18:46:31.877,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,5f7e588b-2d98-4259-9ffd-52ffb7132c6c,5f7e588b-2d98-4259-9ffd-52ffb7132c6c.compressed_content.json,
America/Toronto,1646542800000,2022-03-15 17:46:31.651,2022-03-15 17:46:28.949,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,1deec944-e3bb-4121-9194-c75f4f858cd6,1deec944-e3bb-4121-9194-c75f4f858cd6.compressed_content.json,
America/Toronto,1647147600000,2022-03-20 18:24:39.399,2022-03-20 18:24:37.526,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,83f8a0ab-ec58-40c3-8bd4-aaff3b5b1a2d,83f8a0ab-ec58-40c3-8bd4-aaff3b5b1a2d.compressed_content.json,
America/Toronto,1648353600000,2022-04-04 17:46:47.085,2022-04-04 17:46:45.887,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,8781b338-da11-4fc8-9473-7a985548d200,8781b338-da11-4fc8-9473-7a985548d200.compressed_content.json,
America/Toronto,1648958400000,2022-04-10 17:51:24.897,2022-04-10 17:51:23.582,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,2ffa8e28-84c1-46f7-87e7-c2c29d65ece0,2ffa8e28-84c1-46f7-87e7-c2c29d65ece0.compressed_content.json,
America/Toronto,1649563200000,2022-04-17 19:46:17.053,2022-04-17 19:46:11.586,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,b850fd70-27af-4289-afcd-c8d7c1bc4fd8,b850fd70-27af-4289-afcd-c8d7c1bc4fd8.compressed_content.json,
America/Toronto,1650168000000,2022-04-24 17:45:57.973,2022-04-24 17:45:56.459,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,3c9e2f8f-05a6-4810-8141-dfe8e2e54c82,3c9e2f8f-05a6-4810-8141-dfe8e2e54c82.compressed_content.json,
America/Toronto,1650772800000,2022-05-04 17:45:49.532,2022-05-04 17:45:48.269,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,298bad3e-2028-40cc-9ffd-7dc9da0b05a1,298bad3e-2028-40cc-9ffd-7dc9da0b05a1.compressed_content.json,
America/Toronto,1651377600000,2022-05-09 17:54:16.209,2022-05-09 17:54:14.835,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,ae4fa6d9-2655-4bd2-afb2-ee76be791897,ae4fa6d9-2655-4bd2-afb2-ee76be791897.compressed_content.json,
America/Toronto,1651982400000,2022-05-15 18:17:55.391,2022-05-15 18:17:51.809,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,9903c00b-42cd-4d27-86ca-5f475ab57993,9903c00b-42cd-4d27-86ca-5f475ab57993.compressed_content.json,
America/Toronto,1652587200000,2022-05-26 18:12:57.847,2022-05-26 18:12:56.017,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,2f830b36-8989-47d5-8992-feb5e6e36452,2f830b36-8989-47d5-8992-feb5e6e36452.compressed_content.json,
America/Toronto,1653192000000,2022-05-29 17:46:30.584,2022-05-29 17:46:29.302,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,7665e445-ca34-4e9a-aaaa-d42bf3530ca0,7665e445-ca34-4e9a-aaaa-d42bf3530ca0.compressed_content.json,
America/Toronto,1653796800000,2022-06-05 18:07:46.459,2022-06-05 18:07:44.985,0,0,2,5vLahzXBCy,X,com.sec.android.app.shealth,ba2eb3a2-2365-463a-9c63-aecef1eca6aa,ba2eb3a2-2365-463a-9c63-aecef1eca6aa.compressed_content.json,
